GrandmaternalTemp,Genotype,GrandmaternalVern,GerminationTemp,Generation,Max
Cold,Cvi1,Vernalized,22C,Grandprogeny,0.85
Cold,Cvi1,Vernalized,22C,Grandprogeny,0.8
Cold,Cvi1,Vernalized,10C,Grandprogeny,0.4
Cold,Cvi1,Vernalized,22C,Grandprogeny,1
Cold,Cvi1,Vernalized,10C,Grandprogeny,0.1
Warm,Cvi1,Vernalized,22C,Grandprogeny,0.95
Warm,Cvi1,Vernalized,10C,Grandprogeny,0.45
Cold,Cvi1,Vernalized,10C,Grandprogeny,0.8
Cold,Cvi1,Vernalized,22C,Grandprogeny,1
Cold,Cvi1,Vernalized,22C,Grandprogeny,0.95
Cold,Cvi1,Vernalized,10C,Grandprogeny,0.75
Cold,Cvi1,Vernalized,22C,Grandprogeny,1
Cold,Cvi1,Vernalized,10C,Grandprogeny,0.85
Cold,Cvi1,Vernalized,22C,Grandprogeny,0.9
Cold,Cvi1,Vernalized,10C,Grandprogeny,1
Cold,Cvi1,Vernalized,22C,Grandprogeny,1
Cold,Cvi1,Vernalized,10C,Grandprogeny,0.9
Cold,Cvi1,Vernalized,22C,Grandprogeny,1
Cold,Cvi1,Vernalized,10C,Grandprogeny,0.75
Cold,Cvi1,Vernalized,22C,Grandprogeny,1
Cold,Cvi1,Vernalized,10C,Grandprogeny,0.9
Cold,Cvi1,Unvernalized,22C,Grandprogeny,0.75
Cold,Cvi1,Unvernalized,10C,Grandprogeny,0.85
Cold,Cvi1,Unvernalized,10C,Grandprogeny,0.9
Cold,Cvi1,Unvernalized,22C,Grandprogeny,0.9
Cold,Cvi1,Unvernalized,22C,Grandprogeny,1
Cold,Cvi1,Unvernalized,10C,Grandprogeny,0.65
Warm,Cvi1,Vernalized,10C,Grandprogeny,0.55
Warm,Cvi1,Vernalized,22C,Grandprogeny,0.85
Cold,Cvi1,Unvernalized,22C,Grandprogeny,0.85
Cold,Cvi1,Unvernalized,10C,Grandprogeny,0.5
Cold,Cvi1,Unvernalized,10C,Grandprogeny,0.6
Cold,Cvi1,Unvernalized,22C,Grandprogeny,0.65
Cold,Cvi1,Unvernalized,10C,Grandprogeny,0.95
Cold,Cvi1,Unvernalized,22C,Grandprogeny,0.9
Cold,Cvi1,Unvernalized,10C,Grandprogeny,0.65
Cold,Cvi1,Unvernalized,22C,Grandprogeny,0.85
Cold,Cvi1,Unvernalized,22C,Grandprogeny,0.85
Cold,Cvi1,Unvernalized,10C,Grandprogeny,0.75
Cold,Cvi1,Unvernalized,22C,Grandprogeny,1
Cold,Cvi1,Unvernalized,10C,Grandprogeny,0.7
Cold,Cvi1,Unvernalized,22C,Grandprogeny,1
Cold,Cvi1,Unvernalized,10C,Grandprogeny,0.8
Cold,Cvi1,Unvernalized,22C,Grandprogeny,0.95
Cold,Cvi1,Unvernalized,10C,Grandprogeny,0.6
Cold,Cvi1,Unvernalized,22C,Grandprogeny,1
Cold,Cvi1,Unvernalized,10C,Grandprogeny,0.8
Warm,Cvi1,Vernalized,22C,Grandprogeny,0.6
Warm,Cvi1,Vernalized,10C,Grandprogeny,0.65
Warm,Cvi1,Vernalized,22C,Grandprogeny,1
Warm,Cvi1,Vernalized,10C,Grandprogeny,0.6
Warm,Cvi1,Vernalized,22C,Grandprogeny,0.65
Warm,Cvi1,Vernalized,10C,Grandprogeny,0.4
Warm,Cvi1,Vernalized,10C,Grandprogeny,0.3
Warm,Cvi1,Vernalized,22C,Grandprogeny,1
Warm,Cvi1,Vernalized,22C,Grandprogeny,0.95
Warm,Cvi1,Vernalized,10C,Grandprogeny,0.25
Warm,Ler,Vernalized,22C,Grandprogeny,0.8
Warm,Ler,Vernalized,10C,Grandprogeny,0.6
Warm,Ler,Vernalized,10C,Grandprogeny,0.5
Warm,Ler,Vernalized,22C,Grandprogeny,0.95
Warm,Ler,Vernalized,22C,Grandprogeny,1
Warm,Ler,Vernalized,10C,Grandprogeny,0.75
Warm,Ler,Vernalized,22C,Grandprogeny,0.9
Warm,Ler,Vernalized,10C,Grandprogeny,0.6
Warm,Ler,Unvernalized,22C,Grandprogeny,0.8
Warm,Ler,Unvernalized,10C,Grandprogeny,0.4
Warm,Ler,Unvernalized,10C,Grandprogeny,0.9
Warm,Ler,Unvernalized,22C,Grandprogeny,0.95
Warm,Ler,Unvernalized,10C,Grandprogeny,0.75
Warm,Ler,Unvernalized,22C,Grandprogeny,0.95
Warm,Ler,Unvernalized,10C,Grandprogeny,0.7
Warm,Ler,Unvernalized,22C,Grandprogeny,1
Warm,Ler,Unvernalized,10C,Grandprogeny,0.75
Warm,Ler,Unvernalized,22C,Grandprogeny,0.8
Warm,Ler,Unvernalized,22C,Grandprogeny,0.75
Warm,Ler,Unvernalized,10C,Grandprogeny,0.7
Warm,Ler,Unvernalized,22C,Grandprogeny,0.95
Warm,Ler,Unvernalized,10C,Grandprogeny,0.65
Warm,Ler,Vernalized,22C,Grandprogeny,0.6
Warm,Ler,Vernalized,10C,Grandprogeny,0.75
Warm,Ler,Unvernalized,22C,Grandprogeny,1
Warm,Ler,Unvernalized,10C,Grandprogeny,0.85
Warm,Ler,Unvernalized,10C,Grandprogeny,0.75
Warm,Ler,Unvernalized,22C,Grandprogeny,1
Warm,Ler,Unvernalized,22C,Grandprogeny,1
Warm,Ler,Unvernalized,10C,Grandprogeny,0.7
Warm,Ler,Unvernalized,22C,Grandprogeny,1
Warm,Ler,Unvernalized,10C,Grandprogeny,0.65
Warm,Ler,Unvernalized,10C,Grandprogeny,0.7
Warm,Ler,Unvernalized,22C,Grandprogeny,1
Cold,Ler,Vernalized,10C,Grandprogeny,1
Cold,Ler,Vernalized,22C,Grandprogeny,1
Cold,Ler,Vernalized,22C,Grandprogeny,0.95
Cold,Ler,Vernalized,10C,Grandprogeny,1
Cold,Ler,Vernalized,22C,Grandprogeny,1
Cold,Ler,Vernalized,10C,Grandprogeny,0.45
Cold,Ler,Vernalized,22C,Grandprogeny,1
Cold,Ler,Vernalized,10C,Grandprogeny,1
Cold,Ler,Vernalized,22C,Grandprogeny,1
Cold,Ler,Vernalized,10C,Grandprogeny,1
Warm,Ler,Vernalized,10C,Grandprogeny,0.75
Warm,Ler,Vernalized,22C,Grandprogeny,1
Cold,Ler,Vernalized,10C,Grandprogeny,0.45
Cold,Ler,Vernalized,22C,Grandprogeny,1
Cold,Ler,Vernalized,10C,Grandprogeny,0.6
Cold,Ler,Vernalized,22C,Grandprogeny,0.95
Cold,Ler,Vernalized,10C,Grandprogeny,0.5
Cold,Ler,Vernalized,22C,Grandprogeny,1
Cold,Ler,Vernalized,10C,Grandprogeny,0.55
Cold,Ler,Vernalized,22C,Grandprogeny,0.85
Cold,Ler,Vernalized,22C,Grandprogeny,1
Cold,Ler,Vernalized,10C,Grandprogeny,0.4
Cold,Ler,Vernalized,22C,Grandprogeny,0.95
Cold,Ler,Vernalized,10C,Grandprogeny,0.85
Cold,Ler,Vernalized,10C,Grandprogeny,0.8
Cold,Ler,Vernalized,22C,Grandprogeny,0.9
Cold,Ler,Unvernalized,10C,Grandprogeny,1
Cold,Ler,Unvernalized,22C,Grandprogeny,0.9
Cold,Ler,Unvernalized,10C,Grandprogeny,1
Cold,Ler,Unvernalized,22C,Grandprogeny,0.95
Cold,Ler,Unvernalized,10C,Grandprogeny,0.85
Cold,Ler,Unvernalized,22C,Grandprogeny,1
Warm,Ler,Vernalized,22C,Grandprogeny,0.9
Warm,Ler,Vernalized,10C,Grandprogeny,0.6
Cold,Ler,Unvernalized,22C,Grandprogeny,1
Cold,Ler,Unvernalized,10C,Grandprogeny,1
Cold,Ler,Unvernalized,10C,Grandprogeny,1
Cold,Ler,Unvernalized,22C,Grandprogeny,0.95
Cold,Ler,Unvernalized,22C,Grandprogeny,0.85
Cold,Ler,Unvernalized,10C,Grandprogeny,0.9
Cold,Ler,Unvernalized,10C,Grandprogeny,0.9
Cold,Ler,Unvernalized,22C,Grandprogeny,1
Cold,Ler,Unvernalized,10C,Grandprogeny,0.75
Cold,Ler,Unvernalized,22C,Grandprogeny,0.75
Cold,Ler,Unvernalized,22C,Grandprogeny,0.95
Cold,Ler,Unvernalized,10C,Grandprogeny,0.85
Cold,Ler,Unvernalized,10C,Grandprogeny,0.85
Cold,Ler,Unvernalized,22C,Grandprogeny,0.9
Cold,Ler,Unvernalized,10C,Grandprogeny,0.3
Cold,Ler,Unvernalized,22C,Grandprogeny,0.15
Cold,Ler,Unvernalized,22C,Grandprogeny,0.2
Cold,Ler,Unvernalized,10C,Grandprogeny,0.2
Warm,Ler,Vernalized,10C,Grandprogeny,0.65
Warm,Ler,Vernalized,22C,Grandprogeny,0.8
Warm,Ler,Vernalized,22C,Grandprogeny,1
Warm,Ler,Vernalized,10C,Grandprogeny,0.6
Warm,Ler,Vernalized,22C,Grandprogeny,1
Warm,Ler,Vernalized,10C,Grandprogeny,0.8
Warm,Ler,Vernalized,22C,Grandprogeny,1
Warm,Ler,Vernalized,10C,Grandprogeny,0.85
Warm,Ler,Vernalized,10C,Grandprogeny,0.65
Warm,Ler,Vernalized,22C,Grandprogeny,0.95
Warm,Ler2,Vernalized,10C,Grandprogeny,1
Warm,Ler2,Vernalized,22C,Grandprogeny,0.95
Warm,Ler2,Vernalized,10C,Grandprogeny,0.05
Warm,Ler2,Vernalized,22C,Grandprogeny,0.2
Warm,Ler2,Vernalized,10C,Grandprogeny,0.25
Warm,Ler2,Vernalized,22C,Grandprogeny,0.3
Warm,Ler2,Vernalized,22C,Grandprogeny,0.05
Warm,Ler2,Vernalized,10C,Grandprogeny,0.05
Warm,Ler2,Unvernalized,10C,Grandprogeny,1
Warm,Ler2,Unvernalized,22C,Grandprogeny,0.6
Warm,Ler2,Unvernalized,22C,Grandprogeny,0.4
Warm,Ler2,Unvernalized,10C,Grandprogeny,0.95
Warm,Ler2,Unvernalized,22C,Grandprogeny,0
Warm,Ler2,Unvernalized,10C,Grandprogeny,0.2
Warm,Ler2,Unvernalized,22C,Grandprogeny,0.55
Warm,Ler2,Unvernalized,10C,Grandprogeny,1
Warm,Ler2,Unvernalized,22C,Grandprogeny,0.4
Warm,Ler2,Unvernalized,10C,Grandprogeny,1
Warm,Ler2,Unvernalized,22C,Grandprogeny,0.05
Warm,Ler2,Unvernalized,10C,Grandprogeny,0.05
Warm,Ler2,Unvernalized,22C,Grandprogeny,0.25
Warm,Ler2,Unvernalized,10C,Grandprogeny,0.3
Warm,Ler2,Vernalized,22C,Grandprogeny,1
Warm,Ler2,Vernalized,10C,Grandprogeny,1
Warm,Ler2,Unvernalized,10C,Grandprogeny,0.55
Warm,Ler2,Unvernalized,22C,Grandprogeny,0.45
Warm,Ler2,Unvernalized,10C,Grandprogeny,0.25
Warm,Ler2,Unvernalized,22C,Grandprogeny,0.1
Warm,Ler2,Unvernalized,22C,Grandprogeny,0
Warm,Ler2,Unvernalized,10C,Grandprogeny,0.25
Warm,Ler2,Unvernalized,10C,Grandprogeny,0.05
Warm,Ler2,Unvernalized,22C,Grandprogeny,0
Warm,Ler2,Unvernalized,22C,Grandprogeny,0.25
Warm,Ler2,Unvernalized,10C,Grandprogeny,0.2
Cold,Ler2,Vernalized,10C,Grandprogeny,0.95
Cold,Ler2,Vernalized,22C,Grandprogeny,0.55
Cold,Ler2,Vernalized,22C,Grandprogeny,0.8
Cold,Ler2,Vernalized,10C,Grandprogeny,1
Cold,Ler2,Vernalized,22C,Grandprogeny,0.45
Cold,Ler2,Vernalized,10C,Grandprogeny,0.35
Cold,Ler2,Vernalized,10C,Grandprogeny,0.95
Cold,Ler2,Vernalized,22C,Grandprogeny,0.6
Cold,Ler2,Vernalized,22C,Grandprogeny,0.5
Cold,Ler2,Vernalized,10C,Grandprogeny,1
Warm,Ler2,Vernalized,10C,Grandprogeny,0.1
Warm,Ler2,Vernalized,22C,Grandprogeny,0.1
Cold,Ler2,Vernalized,22C,Grandprogeny,0.15
Cold,Ler2,Vernalized,10C,Grandprogeny,0.3
Cold,Ler2,Vernalized,22C,Grandprogeny,0.1
Cold,Ler2,Vernalized,10C,Grandprogeny,0.4
Cold,Ler2,Vernalized,22C,Grandprogeny,0.1
Cold,Ler2,Vernalized,10C,Grandprogeny,0.3
Cold,Ler2,Vernalized,22C,Grandprogeny,0.6
Cold,Ler2,Vernalized,10C,Grandprogeny,0
Cold,Ler2,Vernalized,10C,Grandprogeny,0.25
Cold,Ler2,Vernalized,22C,Grandprogeny,0.3
Cold,Ler2,Vernalized,22C,Grandprogeny,0.6
Cold,Ler2,Vernalized,10C,Grandprogeny,0.5
Cold,Ler2,Vernalized,10C,Grandprogeny,0.4
Cold,Ler2,Vernalized,22C,Grandprogeny,0.2
Cold,Ler2,Unvernalized,10C,Grandprogeny,1
Cold,Ler2,Unvernalized,22C,Grandprogeny,0.45
Cold,Ler2,Unvernalized,10C,Grandprogeny,0.95
Cold,Ler2,Unvernalized,22C,Grandprogeny,0.6
Cold,Ler2,Unvernalized,22C,Grandprogeny,0.15
Cold,Ler2,Unvernalized,10C,Grandprogeny,0.15
Warm,Ler2,Vernalized,22C,Grandprogeny,0.9
Warm,Ler2,Vernalized,10C,Grandprogeny,1
Cold,Ler2,Unvernalized,10C,Grandprogeny,1
Cold,Ler2,Unvernalized,22C,Grandprogeny,0.65
Cold,Ler2,Unvernalized,10C,Grandprogeny,1
Cold,Ler2,Unvernalized,22C,Grandprogeny,0.65
Cold,Ler2,Unvernalized,22C,Grandprogeny,1
Cold,Ler2,Unvernalized,10C,Grandprogeny,0.2
Cold,Ler2,Unvernalized,22C,Grandprogeny,0.95
Cold,Ler2,Unvernalized,10C,Grandprogeny,0.1
Cold,Ler2,Unvernalized,10C,Grandprogeny,0.1
Cold,Ler2,Unvernalized,22C,Grandprogeny,0
Cold,Ler2,Unvernalized,10C,Grandprogeny,0.4
Cold,Ler2,Unvernalized,22C,Grandprogeny,0.15
Cold,Ler2,Unvernalized,10C,Grandprogeny,0.05
Cold,Ler2,Unvernalized,22C,Grandprogeny,0
Cold,Ler2,Unvernalized,22C,Grandprogeny,0.15
Cold,Ler2,Unvernalized,10C,Grandprogeny,0.1
Cold,Ler2,Unvernalized,10C,Grandprogeny,0.5
Cold,Ler2,Unvernalized,22C,Grandprogeny,0.1
Warm,Ler2,Vernalized,10C,Grandprogeny,1
Warm,Ler2,Vernalized,22C,Grandprogeny,0.95
Warm,Ler2,Vernalized,10C,Grandprogeny,0.35
Warm,Ler2,Vernalized,22C,Grandprogeny,0.2
Warm,Ler2,Vernalized,22C,Grandprogeny,0.05
Warm,Ler2,Vernalized,10C,Grandprogeny,0.3
Warm,Ler2,Vernalized,10C,Grandprogeny,0.3
Warm,Ler2,Vernalized,22C,Grandprogeny,0.15
Warm,Ler2,Vernalized,22C,Grandprogeny,0.25
Warm,Ler2,Vernalized,10C,Grandprogeny,0
Warm,Wa1,Vernalized,22C,Grandprogeny,0
Warm,Wa1,Vernalized,10C,Grandprogeny,0.1
Warm,Wa1,Vernalized,22C,Grandprogeny,0.3
Warm,Wa1,Vernalized,10C,Grandprogeny,0.35
Warm,Wa1,Vernalized,22C,Grandprogeny,0.7
Warm,Wa1,Vernalized,10C,Grandprogeny,0.45
Warm,Wa1,Vernalized,10C,Grandprogeny,0.4
Warm,Wa1,Vernalized,22C,Grandprogeny,0.35
Warm,Wa1,Unvernalized,22C,Grandprogeny,0
Warm,Wa1,Unvernalized,10C,Grandprogeny,0
Warm,Wa1,Unvernalized,10C,Grandprogeny,0
Warm,Wa1,Unvernalized,22C,Grandprogeny,0
Warm,Wa1,Unvernalized,22C,Grandprogeny,0.35
Warm,Wa1,Unvernalized,10C,Grandprogeny,0.7
Warm,Wa1,Unvernalized,10C,Grandprogeny,0
Warm,Wa1,Unvernalized,22C,Grandprogeny,0
Warm,Wa1,Unvernalized,10C,Grandprogeny,0.15
Warm,Wa1,Unvernalized,22C,Grandprogeny,0
Warm,Wa1,Unvernalized,10C,Grandprogeny,0.5
Warm,Wa1,Unvernalized,22C,Grandprogeny,0.35
Warm,Wa1,Unvernalized,10C,Grandprogeny,0.5
Warm,Wa1,Unvernalized,22C,Grandprogeny,0.25
Warm,Wa1,Vernalized,22C,Grandprogeny,0
Warm,Wa1,Vernalized,10C,Grandprogeny,0
Warm,Wa1,Unvernalized,10C,Grandprogeny,0.25
Warm,Wa1,Unvernalized,22C,Grandprogeny,0.25
Warm,Wa1,Unvernalized,22C,Grandprogeny,0.4
Warm,Wa1,Unvernalized,10C,Grandprogeny,0.4
Warm,Wa1,Unvernalized,10C,Grandprogeny,0.4
Warm,Wa1,Unvernalized,22C,Grandprogeny,0.65
Warm,Wa1,Unvernalized,10C,Grandprogeny,0
Warm,Wa1,Unvernalized,22C,Grandprogeny,0.05
Warm,Wa1,Unvernalized,22C,Grandprogeny,0.05
Warm,Wa1,Unvernalized,10C,Grandprogeny,0
Cold,Wa1,Vernalized,10C,Grandprogeny,0.05
Cold,Wa1,Vernalized,22C,Grandprogeny,0
Cold,Wa1,Vernalized,22C,Grandprogeny,0.05
Cold,Wa1,Vernalized,10C,Grandprogeny,0
Cold,Wa1,Vernalized,22C,Grandprogeny,0.2
Cold,Wa1,Vernalized,10C,Grandprogeny,0
Cold,Wa1,Vernalized,10C,Grandprogeny,0
Cold,Wa1,Vernalized,22C,Grandprogeny,0
Cold,Wa1,Vernalized,10C,Grandprogeny,0.05
Cold,Wa1,Vernalized,22C,Grandprogeny,0
Warm,Wa1,Vernalized,10C,Grandprogeny,0.4
Warm,Wa1,Vernalized,22C,Grandprogeny,0.2
Cold,Wa1,Vernalized,22C,Grandprogeny,0.15
Cold,Wa1,Vernalized,10C,Grandprogeny,0.05
Cold,Wa1,Vernalized,10C,Grandprogeny,0.05
Cold,Wa1,Vernalized,22C,Grandprogeny,0.35
Cold,Wa1,Vernalized,22C,Grandprogeny,0.1
Cold,Wa1,Vernalized,10C,Grandprogeny,0.1
Cold,Wa1,Vernalized,10C,Grandprogeny,0
Cold,Wa1,Vernalized,22C,Grandprogeny,0.1
Cold,Wa1,Vernalized,22C,Grandprogeny,0.05
Cold,Wa1,Vernalized,10C,Grandprogeny,0
Cold,Wa1,Vernalized,22C,Grandprogeny,0.2
Cold,Wa1,Vernalized,10C,Grandprogeny,0.05
Cold,Wa1,Vernalized,22C,Grandprogeny,0.05
Cold,Wa1,Vernalized,10C,Grandprogeny,0
Cold,Wa1,Unvernalized,22C,Grandprogeny,0
Cold,Wa1,Unvernalized,10C,Grandprogeny,0.1
Cold,Wa1,Unvernalized,10C,Grandprogeny,0
Cold,Wa1,Unvernalized,22C,Grandprogeny,0
Cold,Wa1,Unvernalized,22C,Grandprogeny,0.15
Cold,Wa1,Unvernalized,10C,Grandprogeny,0.1
Warm,Wa1,Vernalized,22C,Grandprogeny,0
Warm,Wa1,Vernalized,10C,Grandprogeny,0.1
Cold,Wa1,Unvernalized,22C,Grandprogeny,0
Cold,Wa1,Unvernalized,10C,Grandprogeny,0
Cold,Wa1,Unvernalized,10C,Grandprogeny,0
Cold,Wa1,Unvernalized,22C,Grandprogeny,0
Cold,Wa1,Unvernalized,10C,Grandprogeny,0
Cold,Wa1,Unvernalized,22C,Grandprogeny,0.2
Cold,Wa1,Unvernalized,22C,Grandprogeny,0
Cold,Wa1,Unvernalized,10C,Grandprogeny,0
Cold,Wa1,Unvernalized,22C,Grandprogeny,0
Cold,Wa1,Unvernalized,10C,Grandprogeny,0
Cold,Wa1,Unvernalized,10C,Grandprogeny,0
Cold,Wa1,Unvernalized,22C,Grandprogeny,0
Cold,Wa1,Unvernalized,10C,Grandprogeny,0
Cold,Wa1,Unvernalized,22C,Grandprogeny,0
Cold,Wa1,Unvernalized,22C,Grandprogeny,0
Cold,Wa1,Unvernalized,10C,Grandprogeny,0
Cold,Wa1,Unvernalized,10C,Grandprogeny,0
Cold,Wa1,Unvernalized,22C,Grandprogeny,0
Warm,Wa1,Vernalized,22C,Grandprogeny,0
Warm,Wa1,Vernalized,10C,Grandprogeny,0
Warm,Wa1,Vernalized,22C,Grandprogeny,0.05
Warm,Wa1,Vernalized,10C,Grandprogeny,0.2
Warm,Wa1,Vernalized,22C,Grandprogeny,0.4
Warm,Wa1,Vernalized,10C,Grandprogeny,0.65
Warm,Wa1,Vernalized,22C,Grandprogeny,0.7
Warm,Wa1,Vernalized,10C,Grandprogeny,0.9
Warm,Wa1,Vernalized,22C,Grandprogeny,0.2
Warm,Wa1,Vernalized,10C,Grandprogeny,0.35
Warm,Ws1,Vernalized,22C,Grandprogeny,0
Warm,Ws1,Vernalized,10C,Grandprogeny,0.1
Warm,Ws1,Vernalized,10C,Grandprogeny,0
Warm,Ws1,Vernalized,22C,Grandprogeny,0
Warm,Ws1,Vernalized,22C,Grandprogeny,0
Warm,Ws1,Vernalized,10C,Grandprogeny,0
Warm,Ws1,Vernalized,22C,Grandprogeny,0
Warm,Ws1,Vernalized,10C,Grandprogeny,0
Warm,Ws1,Unvernalized,22C,Grandprogeny,0
Warm,Ws1,Unvernalized,10C,Grandprogeny,0
Warm,Ws1,Unvernalized,22C,Grandprogeny,0
Warm,Ws1,Unvernalized,10C,Grandprogeny,0
Warm,Ws1,Unvernalized,10C,Grandprogeny,0
Warm,Ws1,Unvernalized,22C,Grandprogeny,0
Warm,Ws1,Unvernalized,10C,Grandprogeny,0
Warm,Ws1,Unvernalized,22C,Grandprogeny,0
Warm,Ws1,Unvernalized,10C,Grandprogeny,0
Warm,Ws1,Unvernalized,22C,Grandprogeny,0
Warm,Ws1,Unvernalized,22C,Grandprogeny,0
Warm,Ws1,Unvernalized,10C,Grandprogeny,0
Warm,Ws1,Unvernalized,22C,Grandprogeny,0
Warm,Ws1,Unvernalized,10C,Grandprogeny,0
Warm,Ws1,Vernalized,10C,Grandprogeny,0.05
Warm,Ws1,Vernalized,22C,Grandprogeny,0
Warm,Ws1,Unvernalized,10C,Grandprogeny,0
Warm,Ws1,Unvernalized,22C,Grandprogeny,0
Warm,Ws1,Unvernalized,10C,Grandprogeny,0
Warm,Ws1,Unvernalized,22C,Grandprogeny,0
Warm,Ws1,Unvernalized,10C,Grandprogeny,0
Warm,Ws1,Unvernalized,22C,Grandprogeny,0
Warm,Ws1,Unvernalized,22C,Grandprogeny,0
Warm,Ws1,Unvernalized,10C,Grandprogeny,0
Warm,Ws1,Unvernalized,10C,Grandprogeny,0
Warm,Ws1,Unvernalized,22C,Grandprogeny,0
Cold,Ws1,Vernalized,22C,Grandprogeny,0
Cold,Ws1,Vernalized,10C,Grandprogeny,0
Cold,Ws1,Vernalized,22C,Grandprogeny,0
Cold,Ws1,Vernalized,10C,Grandprogeny,0.1
Cold,Ws1,Vernalized,22C,Grandprogeny,0
Cold,Ws1,Vernalized,10C,Grandprogeny,0.05
Cold,Ws1,Vernalized,22C,Grandprogeny,0.05
Cold,Ws1,Vernalized,10C,Grandprogeny,0
Cold,Ws1,Vernalized,22C,Grandprogeny,0
Cold,Ws1,Vernalized,10C,Grandprogeny,0
Warm,Ws1,Vernalized,10C,Grandprogeny,0.05
Warm,Ws1,Vernalized,22C,Grandprogeny,0
Cold,Ws1,Vernalized,10C,Grandprogeny,0
Cold,Ws1,Vernalized,22C,Grandprogeny,0
Cold,Ws1,Vernalized,10C,Grandprogeny,0
Cold,Ws1,Vernalized,22C,Grandprogeny,0
Cold,Ws1,Vernalized,22C,Grandprogeny,0
Cold,Ws1,Vernalized,10C,Grandprogeny,0
Cold,Ws1,Vernalized,22C,Grandprogeny,0
Cold,Ws1,Vernalized,10C,Grandprogeny,0
Cold,Ws1,Vernalized,22C,Grandprogeny,0
Cold,Ws1,Vernalized,10C,Grandprogeny,0
Cold,Ws1,Vernalized,22C,Grandprogeny,0
Cold,Ws1,Vernalized,10C,Grandprogeny,0.05
Cold,Ws1,Vernalized,22C,Grandprogeny,0
Cold,Ws1,Vernalized,10C,Grandprogeny,0
Cold,Ws1,Unvernalized,22C,Grandprogeny,0
Cold,Ws1,Unvernalized,10C,Grandprogeny,0.1
Cold,Ws1,Unvernalized,10C,Grandprogeny,0.1
Cold,Ws1,Unvernalized,22C,Grandprogeny,0
Cold,Ws1,Unvernalized,22C,Grandprogeny,0
Cold,Ws1,Unvernalized,10C,Grandprogeny,0
Warm,Ws1,Vernalized,10C,Grandprogeny,0.05
Warm,Ws1,Vernalized,22C,Grandprogeny,0
Cold,Ws1,Unvernalized,10C,Grandprogeny,0.05
Cold,Ws1,Unvernalized,22C,Grandprogeny,0.05
Cold,Ws1,Unvernalized,10C,Grandprogeny,0
Cold,Ws1,Unvernalized,22C,Grandprogeny,0
Cold,Ws1,Unvernalized,22C,Grandprogeny,0
Cold,Ws1,Unvernalized,10C,Grandprogeny,0
Cold,Ws1,Unvernalized,10C,Grandprogeny,0
Cold,Ws1,Unvernalized,22C,Grandprogeny,0
Cold,Ws1,Unvernalized,22C,Grandprogeny,0
Cold,Ws1,Unvernalized,10C,Grandprogeny,0.05
Cold,Ws1,Unvernalized,22C,Grandprogeny,0
Cold,Ws1,Unvernalized,10C,Grandprogeny,0
Cold,Ws1,Unvernalized,10C,Grandprogeny,0
Cold,Ws1,Unvernalized,22C,Grandprogeny,0
Cold,Ws1,Unvernalized,22C,Grandprogeny,0
Cold,Ws1,Unvernalized,10C,Grandprogeny,0
Cold,Ws1,Unvernalized,22C,Grandprogeny,0
Cold,Ws1,Unvernalized,10C,Grandprogeny,0
Warm,Ws1,Vernalized,10C,Grandprogeny,0.05
Warm,Ws1,Vernalized,22C,Grandprogeny,0
Warm,Ws1,Vernalized,22C,Grandprogeny,0
Warm,Ws1,Vernalized,10C,Grandprogeny,0
Warm,Ws1,Vernalized,22C,Grandprogeny,0
Warm,Ws1,Vernalized,10C,Grandprogeny,0
Warm,Ws1,Vernalized,22C,Grandprogeny,0
Warm,Ws1,Vernalized,10C,Grandprogeny,0
Warm,Ws1,Vernalized,22C,Grandprogeny,0
Warm,Ws1,Vernalized,10C,Grandprogeny,0
